"BranchIdentifier","Barcodes","Quantity","Price","CurrencyCode","MaxOrder","IsActive"
"Khaldehforno","8850124085917","100","5.15","USD","100","TRUE"
"Khaldehforno","5285001101955","100","2.02","USD","100","TRUE"
"Khaldehforno","5285001101917","100","2.02","USD","100","TRUE"
"Khaldehforno","5285001101788","100","6.5","USD","100","TRUE"
"Khaldehforno","5285001101887","100","6.72","USD","100","TRUE"
"Khaldehforno","5285001101719","100","7.97","USD","100","TRUE"
"Khaldehforno","6281007032407","100","6","USD","100","TRUE"
"Khaldehforno","5285001101948","100","6.5","USD","100","TRUE"
"Khaldehforno","5281034012473","100","0.59","USD","100","TRUE"
"Khaldehforno","5281034012503","100","0.59","USD","100","TRUE"
"Khaldehforno","5281034012497","100","0.59","USD","100","TRUE"
"Khaldehforno","5281034012534","100","0.59","USD","100","TRUE"
"Khaldehforno","5285000328810","100","0.55","USD","100","TRUE"
"Khaldehforno","5283024603838","100","0.65","USD","100","TRUE"
"Khaldehforno","5285000328827","100","0.55","USD","100","TRUE"
"Khaldehforno","5283024601155","100","0.65","USD","100","TRUE"
"Khaldehforno","5285000328803","100","0.55","USD","100","TRUE"
"Khaldehforno","5280320006332","100","7","USD","100","TRUE"
"Khaldehforno","5815","100","9","USD","100","TRUE"
"Khaldehforno","5814","100","4.2","USD","100","TRUE"
"Khaldehforno","5825","100","6.5","USD","100","TRUE"
"Khaldehforno","5812","100","5.4","USD","100","TRUE"
"Khaldehforno","6132","100","4.2","USD","100","TRUE"
"Khaldehforno","3246","100","11","USD","100","TRUE"
"Khaldehforno","5823","100","10.8","USD","100","TRUE"
"Khaldehforno","5822","100","6","USD","100","TRUE"
"Khaldehforno","5280320000019","100","40000","LBP","100","TRUE"
"Khaldehforno","5280320000002","100","65000","LBP","100","TRUE"
"Khaldehforno","1947","100","24","USD","100","TRUE"
"Khaldehforno","1596","100","20","USD","100","TRUE"
"Khaldehforno","0768","100","7.2","USD","100","TRUE"
"Khaldehforno","5280320000583","100","2","USD","100","TRUE"
"Khaldehforno","5280320000590","100","2.1","USD","100","TRUE"
"Khaldehforno","5280320000576","100","1.9","USD","100","TRUE"
"Khaldehforno","5102897643560","100","4","USD","100","TRUE"
"Khaldehforno","5102897643461","100","5.5","USD","100","TRUE"
"Khaldehforno","5102897643652","100","6","USD","100","TRUE"
"Khaldehforno","5287925462525","100","5.5","USD","100","TRUE"
"Khaldehforno","5102897643577","100","4","USD","100","TRUE"
"Khaldehforno","5102897643232","100","7","USD","100","TRUE"
"Khaldehforno","5102897643256","100","7","USD","100","TRUE"
"Khaldehforno","5102897643492","100","6","USD","100","TRUE"
"Khaldehforno","5102897648954","100","4","USD","100","TRUE"
"Khaldehforno","5810","100","10","USD","100","TRUE"
"Khaldehforno","5280320005090","100","1.18","USD","100","TRUE"
"Khaldehforno","5280320005137","100","2.5","USD","100","TRUE"
"Khaldehforno","9556001297877","100","0.21","USD","100","TRUE"
"Khaldehforno","5280320000545","100","1.9","USD","100","TRUE"
"Khaldehforno","5280320000620","100","1.9","USD","100","TRUE"
"Khaldehforno","5280320000521","100","1.25","USD","100","TRUE"
